datetime,hits
2020-03-22T13,28
2020-03-22T14,29
2020-03-22T15,29
2020-03-22T16,29
2020-03-22T17,27
2020-03-22T18,27
2020-03-22T19,28
2020-03-22T20,27
2020-03-22T21,23
2020-03-22T22,22
2020-03-22T23,20
2020-03-23T00,17
2020-03-23T01,15
2020-03-23T02,14
2020-03-23T03,15
2020-03-23T04,15
2020-03-23T05,17
2020-03-23T06,22
2020-03-23T07,32
2020-03-23T08,43
2020-03-23T09,44
2020-03-23T10,51
2020-03-23T11,59
2020-03-23T12,62
2020-03-23T13,59
2020-03-23T14,57
2020-03-23T15,56
2020-03-23T16,55
2020-03-23T17,51
2020-03-23T18,48
2020-03-23T19,40
2020-03-23T20,32
2020-03-23T21,28
2020-03-23T22,26
2020-03-23T23,24
2020-03-24T00,21
2020-03-24T01,19
2020-03-24T02,18
2020-03-24T03,16
2020-03-24T04,18
2020-03-24T05,19
2020-03-24T06,23
2020-03-24T07,33
2020-03-24T08,40
2020-03-24T09,40
2020-03-24T10,41
2020-03-24T11,43
2020-03-24T12,45
2020-03-24T13,43
2020-03-24T14,42
2020-03-24T15,40
2020-03-24T16,37
2020-03-24T17,36
2020-03-24T18,35
2020-03-24T19,30
2020-03-24T20,28
2020-03-24T21,23
2020-03-24T22,22
2020-03-24T23,21
2020-03-25T00,19
2020-03-25T01,19
2020-03-25T02,24
2020-03-25T03,25
2020-03-25T04,21
2020-03-25T05,22
2020-03-25T06,29
2020-03-25T07,38
2020-03-25T08,47
2020-03-25T09,47
2020-03-25T10,50
2020-03-25T11,52
2020-03-25T12,55
2020-03-25T13,54
2020-03-25T14,49
2020-03-25T15,49
2020-03-25T16,50
2020-03-25T17,45
2020-03-25T18,61
2020-03-25T19,47
2020-03-25T20,36
2020-03-25T21,34
2020-03-25T22,31
2020-03-25T23,33
2020-03-26T00,34
2020-03-26T01,29
2020-03-26T02,28
2020-03-26T03,27
2020-03-26T04,25
2020-03-26T05,26
2020-03-26T06,35
2020-03-26T07,46
2020-03-26T08,69
2020-03-26T09,100
2020-03-26T10,91
2020-03-26T11,80
2020-03-26T12,79
2020-03-26T13,80
2020-03-26T14,77
2020-03-26T15,70
2020-03-26T16,64
2020-03-26T17,66
2020-03-26T18,67
2020-03-26T19,59
2020-03-26T20,49
2020-03-26T21,40
2020-03-26T22,36
2020-03-26T23,38
2020-03-27T00,33
2020-03-27T01,30
2020-03-27T02,29
2020-03-27T03,27
2020-03-27T04,24
2020-03-27T05,28
2020-03-27T06,33
2020-03-27T07,41
2020-03-27T08,52
2020-03-27T09,51
2020-03-27T10,56
2020-03-27T11,56
2020-03-27T12,57
2020-03-27T13,64
2020-03-27T14,72
2020-03-27T15,66
2020-03-27T16,69
2020-03-27T17,70
2020-03-27T18,62
2020-03-27T19,57
2020-03-27T20,46
2020-03-27T21,39
2020-03-27T22,36
2020-03-27T23,35
2020-03-28T00,33
2020-03-28T01,32
2020-03-28T02,29
2020-03-28T03,27
2020-03-28T04,26
2020-03-28T05,29
2020-03-28T06,33
2020-03-28T07,40
2020-03-28T08,45
2020-03-28T09,47
2020-03-28T10,47
2020-03-28T11,46
2020-03-28T12,45
2020-03-28T13,46
2020-03-28T14,42
2020-03-28T15,42
2020-03-28T16,36
2020-03-28T17,34
2020-03-28T18,33
2020-03-28T19,31
2020-03-28T20,27
2020-03-28T21,26
2020-03-28T22,26
2020-03-28T23,23
2020-03-29T00,21
2020-03-29T01,22
2020-03-29T02,18
2020-03-29T03,19
2020-03-29T04,20
2020-03-29T05,21
2020-03-29T06,25
2020-03-29T07,29
2020-03-29T08,34
2020-03-29T09,37
2020-03-29T10,40
2020-03-29T11,38
2020-03-29T12,37