location,baseline,week0315,week0322
AK,2.735562310030395,49.848024316109424,64.43768996960486
AL,1.8601823708206686,30.638297872340424,73.75075987841944
AR,2.858662613981763,41.32522796352584,65.598784194528875
AZ,1.6755319148936172,14.498480243161096,25.030395136778118
CA,1.3214285714285714,24.571428571428573,30.428571428571427
CO,1.6200607902735562,35.246200607902736,41.568389057750764
CT,3.0060790273556233,26.425531914893615,31.03951367781155
DC,3.360655737704918,32.786885245901644,53.27868852459016
DE,6.534954407294833,58.054711246200604,90.27355623100304
FL,1.8599439775910365,31.61904761904762,84.16246498599439
GA,2.862044817927171,23.834733893557424,50.484593837535016
HI,3.151260504201681,86.27450980392156,94.9579831932773
IA,3.2312925170068025,47.61904761904762,46.59863945578231
ID,1.927170868347339,23.126050420168067,47.32773109243698
IL,3.199546485260771,48.18140589569161,73.02494331065759
IN,2.2675736961451247,76.87074829931971,125.85034013605441
KS,5.158730158730158,37.76190476190476,85.84126984126983
KY,3.8812499999999996,55.8,70.875
LA,1.9642857142857144,31.607142857142858,46.07142857142857
MA,1.101328903654485,21.767441860465116,24.358803986710964
MD,2.0562500000000004,27.125,49.7
ME,2.5892857142857144,85,134.28571428571428
MI,4.983388704318937,78.40531561461795,180.39867109634554
MN,0.7209302325581395,12.049833887043189,14.212624584717608
MO,2.926829268292683,27.121951219512198,48.97560975609757
MS,4.186046511627907,31.25581395348837,96.83720930232558
MT,1.3327526132404182,77.89198606271778,104.84320557491289
NC,2.269179894179894,40.16931216931217,69.13756613756614
ND,3.208333333333333,44.407407407407405,40.129629629629626
NE,2.6445993031358888,26.125435540069688,36.22299651567945
NH,0,117.55952380952382,106.8452380952381
NJ,1.6436011904761905,21.681547619047617,35.669642857142854
NM,0.5654761904761905,48.17857142857142,37.77380952380952
NV,7.7526132404181185,111.84668989547038,124.0418118466899
NY,1.3764880952380953,27.083333333333336,42.410714285714285
OH,3.5674603174603177,66.97619047619048,92.52380952380952
OK,7.936507936507937,52.645502645502646,101.05820105820106
OR,4.060665362035225,67.90606653620353,91.38943248532289
PA,4.271037181996086,71.75342465753425,88.6477495107632
RI,6.105675146771037,65.00195694716243,72.89236790606654
SC,2.3277886497064584,34.64970645792564,57.0880626223092
SD,6.928571428571429,24.857142857142858,103.71428571428571
TN,1.8664285714285718,27.94857142857143,66.04285714285714
TX,1.4385714285714286,17.717142857142857,39.06857142857143
USA,2.5845864661654137,56.203007518796994,93.60902255639098
UT,0.6514285714285715,9.22857142857143,20.194285714285716
VA,1.9160714285714284,22.164285714285715,50.33571428571428
VT,12.321428571428571,87.85714285714286,83.92857142857143
WA,1.4589285714285714,17.2,25.64642857142857
WI,3.38407494145199,28.983606557377048,48.25292740046838
WV,3.0187500000000003,42.63214285714286,78.6107142857143
WY,13.173302107728338,60.88992974238876,58.78220140515223
AK,3.3333333333333335,53.96825396825397,72.38095238095238
AL,2.8000000000000003,31.314285714285717,77.25714285714287
AR,1.0031746031746032,53.66984126984127,81.0063492063492
AZ,2.311111111111111,18.488888888888887,36.81269841269841
CA,1.25,23.142857142857142,29.714285714285715
CO,1.8206349206349206,55.67619047619047,71.41587301587302
CT,1.0793650793650795,21.96825396825397,27.3015873015873
DC,1.4736024844720497,29.472049689440993,60.53105590062112
DE,1.5873015873015872,64.12698412698413,122.85714285714286
FL,1.5301881622214102,22.394349043965413,58.702715868956275
GA,0.79417854098161,19.348130556570453,44.91243453903301
HI,4.148398489830715,77.84070149799051,95.82267689684569
IA,3.792452830188679,44.60646900269541,53.094339622641506
ID,1.3094476921203264,17.68000243575691,51.46279381317745
IL,3.0619946091644206,42.867924528301884,70.61725067385444
IN,3.8409703504043127,68.19407008086253,139.3530997304582
KS,2.223719676549865,25.22911051212938,48.517520215633425
KY,4.400892857142858,74.4,134.1857142857143
LA,2.6464285714285714,49.028571428571425,91.92857142857143
MA,0.8006192396313364,17.245103686635947,19.943932411674346
MD,2.4526785714285717,35.892857142857146,75.61428571428571
ME,4.821428571428571,105,132.5
MI,2.889784946236559,96.99500768049155,197.7438556067588
MN,0.4813028033794163,8.819988479262673,13.368951612903226
MO,3.935150375939849,41.28195488721805,88.20676691729324
MS,1.69090821812596,28.96121351766513,70.99942396313364
MT,1.550751879699248,54.98120300751879,100.09398496240601
NC,1.9967532467532467,34.870129870129865,56.1038961038961
ND,7.224025974025974,76.2987012987013,117.85714285714286
NE,0.6766917293233082,31.12781954887218,33.49624060150376
NH,3.237734487734488,83.2792207792208,91.86507936507937
NJ,1.8015873015873016,28.041847041847042,43.185425685425685
NM,1.2233044733044731,16.983405483405484,19.753246753246753
NV,8.082706766917294,104.13533834586467,126.69172932330828
NY,1.6915133477633477,41.870670995671,62.81421356421356
OH,2.739448051948052,59.172077922077925,81.33116883116884
OK,6.1144480519480515,43.65584415584416,95.72727272727272
OR,2.34251628001628,43.43701668701669,61.01027676027677
PA,3.736772486772487,81.80029846696513,84.30335097001763
RI,3.1995489078822414,49.49213132546466,43.78747795414462
SC,0.9252136752136753,36.97039072039072,67.07570207570207
SD,4.245283018867925,60.64690026954178,97.30458221024259
TN,2.516846361185984,38.703504043126685,90.1590296495957
TX,1.7095687331536387,22.5822102425876,42.142857142857146
USA,2.4096385542168677,55.24956970740104,89.15662650602411
UT,1.3342318059299192,16.73854447439353,14.433962264150944
VA,1.2321428571428572,18.857142857142858,41.785714285714285
VT,2.6785714285714284,69.19642857142857,169.64285714285714
WA,0.8839285714285714,14.4375,20.330357142857142
WI,1.423136645962733,21.164596273291927,35.7608695652174
WV,1.5714285714285714,27.696428571428573,36.732142857142854
WY,10.093167701863354,89.44099378881987,101.86335403726707
